locationID,name,chepChannel,type1,type2,address,country,state,city,zipcode,chepStatus,chepCompanyCode,chepAffiliation,chepSubAffiliation,chepServiceType,latitude,longitude,custom1,custom2,custom3,custom4,custom5
USHN,CHEP - Beaver Dam,SC,,One Way Trip,113 Distribution Way,US,WI,Beaver Dam,53916,ACTIVE,US10,SVC,TPM,SERVICE CENTER,43.5075174,-88.7964261,,,SERVICE CENTER,,
USHO,CHEP - Bedford,SC,,One Way Trip,181 Walmart Road,US,PA,Bedford,15522,ACTIVE,US10,SVC,TPM,SERVICE CENTER,40.0928887,-78.5224634,,,SERVICE CENTER,,
USHP,CHEP - Coldwater,SC,,One Way Trip,512 Jonesville Road,US,MI,Coldwater,49036,ACTIVE,US10,SVC,TPM,SERVICE CENTER,41.9855631,-84.9762621,,,SERVICE CENTER,,
USHQ,CHEP - Garrett,SC,,One Way Trip,1729 State Road 8,US,IN,Auburn,46706,ACTIVE,US10,SVC,TPM,SERVICE CENTER,41.3679763,-85.1128371,,,SERVICE CENTER,,
USHR,CHEP - Gas City,SC,,One Way Trip,100 Fischer Parkway,US,IN,Gas City,46933,ACTIVE,US10,SVC,TPM,SERVICE CENTER,40.4872625,-85.6130311,,,SERVICE CENTER,,
USHS,CHEP - Gordonsville,SC,,One Way Trip,10695 Freedom Trail,US,VA,Gordonsville,22942,ACTIVE,US10,SVC,TPM,SERVICE CENTER,37.9827843,-78.2017884,,,SERVICE CENTER,,
USQM,CHEP - Hammond,SC,,One Way Trip,201 Pride Drive,US,LA,Hammond,70401,ACTIVE,US10,SVC,SC,SERVICE CENTER,30.5129735,-90.4233166,,,SERVICE CENTER,,
USHT,CHEP - Henderson,SC,,One Way Trip,680 Vonco Mill Road,US,NC,Henderson,27537,ACTIVE,US10,SVC,TPM,SERVICE CENTER,36.2937939,-78.3822314,,,SERVICE CENTER,,
USHU,CHEP - Hope Mills,SC,,One Way Trip,1057 Sand Hill Road,US,NC,Hope Mills,28348,ACTIVE,US10,SVC,TPM,SERVICE CENTER,34.9363189,-78.8995272,,,SERVICE CENTER,,
USHV,CHEP - Johnstown,SC,,One Way Trip,300 Enterprise Road,US,NY,Johnstown,12095,ACTIVE,US10,SVC,TPM,SERVICE CENTER,42.989233,-74.405088,,,SERVICE CENTER,,
USHW,CHEP - Laurens,SC,,One Way Trip,1050 Vern Cora Road,US,SC,Laurens,29360,ACTIVE,US10,SVC,TPM,SERVICE CENTER,34.5483856,-81.999754,,,SERVICE CENTER,,
USHX,CHEP - Lewiston,SC,,One Way Trip,239 Goddard Road,US,ME,Lewiston,4240,ACTIVE,US10,SVC,TPM,SERVICE CENTER,44.0633384,-70.1942735,,,SERVICE CENTER,,
USHY,CHEP - Marcy,SC,,One Way Trip,8827 Old River Road,US,NY,Marcy,13403,ACTIVE,US10,SVC,TPM,SERVICE CENTER,43.172271,-75.311962,,,SERVICE CENTER,,
USHZ,CHEP - Menomonie,SC,,One Way Trip,6100 3m Drive,US,WI,Menomonie,54751,ACTIVE,US10,SVC,TPM,SERVICE CENTER,44.9010119,-91.8578662,,,SERVICE CENTER,,
USJB,CHEP - Mt. Crawford,SC,,One Way Trip,6000 Walton Way,US,VA,Mt. Crawford,22841,ACTIVE,US10,SVC,TPM,SERVICE CENTER,38.3570713,-78.9408615,,,SERVICE CENTER,,
USJC,CHEP - Mt. Pleasant,SC,,One Way Trip,1501 Maple Leaf Drive,US,IA,Mt. Pleasant,52641,ACTIVE,US10,SVC,TPM,SERVICE CENTER,40.9763664,-91.5282162,,,SERVICE CENTER,,
USJD,CHEP - Pageland,SC,,One Way Trip,160 Dove Sutton Road,US,SC,Pageland,29728,ACTIVE,US10,SVC,TPM,SERVICE CENTER,34.7950566,-80.4118749,,,SERVICE CENTER,,
USJE,CHEP - Pottsville,SC,,One Way Trip,390 Highridge Park Drive,US,PA,Pottsville,17901,ACTIVE,US10,SVC,TPM,SERVICE CENTER,40.732224,-76.3206874,,,SERVICE CENTER,,
USJF,CHEP - Raymond,SC,,One Way Trip,42 Freetown Road,US,NH,Raymond,3077,ACTIVE,US10,SVC,TPM,SERVICE CENTER,43.0266817,-71.1570117,,,SERVICE CENTER,,
