"","V1","V2"
"30",21.3172421935728,-158.109109503347
"36",21.3150532025311,-158.103637724959
"42",21.3185846542528,-158.089781003083
"100",21.3387478245756,-157.898297872862
"107",21.3133828135603,-157.884067438707
"111",21.3155639036914,-157.876885599749
"123",21.2933346020415,-157.840821693034
"158",20.8938023926101,-156.463714814731
"251",61.1941751487241,-149.882818445121
"252",61.1608117841796,-149.883299534581
"254",61.1401831284248,-149.882127515603
"381",40.7936492080738,-124.176883492897
"494",43.2000046352941,-123.376731213982
"533",43.2321094006019,-123.349456823333
"651",47.125694065,-123.146281045
"654",44.0564834718179,-123.142717087362
"668",47.2331595931923,-123.124037097288
"676",44.5828999447917,-123.119274718575
"681",44.5874709547857,-123.112623539429
"685",44.6122184725357,-123.109395772429
"689",44.6192742598919,-123.108675159905
"783",44.1247898300937,-123.049952072125
"854",44.9105482323077,-123.012456349712
"885",44.9144775252834,-122.996039656622
"903",46.6778459740196,-122.981239893137
"911",44.0588841156307,-122.980976599094
"985",45.5358201925,-122.934482175686
"1056",42.3793831744815,-122.895681562074
"1065",45.1479284055413,-122.891463723557
"1074",45.0092266378676,-122.887618238015
"1099",45.1553735241485,-122.87374046265
"1111",42.3222080233159,-122.869034855706
"1197",45.2361466447879,-122.809859431193
"1241",45.3250861278937,-122.775937392002
"1243",45.268399478625,-122.77479860375
"1246",45.3169562822272,-122.776012908073
"1247",47.060147587381,-122.774460661905
"1248",45.3089558670476,-122.773715841952
"1250",45.3332660756353,-122.774259588123
"1256",45.6349903820303,-122.769237542125
"1342",45.5536962851429,-122.723419224857
"1370",45.6080227321916,-122.708946710548
"1415",45.5878684786538,-122.685930952692
"1418",45.6285006670833,-122.685839792167
"1440",45.5924969141239,-122.677493472778
"1497",45.5180843011708,-122.663729338577
"1500",45.418424637253,-122.662473410198
"1537",45.6171281286349,-122.643313308857
"1540",45.4895908332122,-122.643802008733
"1541",45.577468152386,-122.642041981
"1542",45.4481159701771,-122.643098271542
"1543",45.4562866611077,-122.643257730451
"1544",45.5253518200158,-122.64205315817
"1546",47.08908417,-122.643615
"1579",47.1046309933889,-122.629134682167
"1590",45.4054756520833,-122.623619104792
"1657",45.4294376983699,-122.59555775948
"1692",45.4086144422455,-122.581849489445
"1713",45.4330276170615,-122.575409150704
"1717",45.4914728697241,-122.575372807249
"1735",45.3998472030073,-122.566721923555
"1756",45.4013750070364,-122.560671030585
"1757",45.415809347524,-122.558681255721
"1761",45.4055247284085,-122.556135299556
"1769",45.569335,-122.553216946667
"1772",45.5140191675,-122.5522225
"1773",45.66447866675,-122.551602097333
"1776",45.6933225,-122.551253335
"1778",45.6740183938616,-122.551121512478
"1791",45.4042342604446,-122.544321383126
"1844",45.5484109416047,-122.518138804092
"1871",47.169690208184,-122.501996293646
"1875",47.1753776765081,-122.498007234688
"1900",48.7961537836302,-122.487564327659
"1921",45.5382403077961,-122.481104992934
"2022",47.2564252078125,-122.43754434875
"2039",47.2605905323529,-122.4264267489
"2057",47.2679139917536,-122.420821517934
"2058",45.5049002907333,-122.419044734033
"2097",47.2756497255694,-122.407559523361
"2100",47.2571052222818,-122.407233680821
"2113",37.6904227348261,-122.404241236517
"2122",45.543959652625,-122.402556698733
"2139",37.6437684026961,-122.398058063039
"2141",37.726366136163,-122.397372486081
"2147",37.7450605814755,-122.397191598181
"2148",40.5977304175,-122.3970504175
"2149",47.2454261252783,-122.39515967516
"2191",47.6358727895847,-122.382487194487
"2193",47.2439276295425,-122.384404737006
